,heading,location,rent per month,Bedrooom,Bathrooom,Area-sqft
48,4500 Sq Ft Apartment For Rent In Gulshan 2,"Gulshan 2, Gulshan","৳220,000",,,
49,"A Rightly Planned 3 Bedroom Flat Is Found For Rent In Bashundhara R-a, Block D","Block D, Bashundhara R-A","৳35,000",,,
50,In Uttara 1000 Sq Ft Apartment Can Be Found For Rent Near Uttara Collegiate School,"Sector 14, Uttara","৳23,000",,,
51,Get Comfortable In A 1000 Sq Ft Flat For Rent In Uttara Nearby Uttara Collegiate Scho...,"Sector 14, Uttara","৳21,000",,,
52,"Classy 4,200 Sq Ft Semi-Furnished Flat for Rent in Bashundhara R-A","Block I, Bashundhara R-A","৳180,000",5,5,4200 sqft
53,Valuable 1700 Sq Ft Apartment for Rent in Uttara,"Sector 12, Uttara","৳65,000",3,2,1700 sqft
54,"Standard 2,000 sq ft Apartment for Rent in Dhanmondi","Road No 11, Dhanmondi","৳60,000",3,3,2000 sqft
55,Apartment Is Of 2000 Sq. Ft For Rent In Uttara Near Uttara Community Center,"Sector 6, Uttara","৳35,000",,,
56,"Looking for a bigger place? try us, as we have this 1200 SQ Ft apartment ready for re...","Shahjadpur, Badda","৳23,000",,,
57,Impressive Flat Is Up For Rent In Uttara Near Nrb Bank Limited,"Sector 12, Uttara","৳40,000",,,
58,"Available in Uttara Sector 6, an apartment of 1500 SQ FT is available, near Asian Uni...","Sector 6, Uttara","৳25,000",,,
59,"1100 SQ FT apartment is up for rent in Rampura, near Purba Rampura High School","East Rampura, Rampura","৳20,000",,,
60,"1550 Sq Ft In Total Nice Flat That You Have Been Looking For, This Flat For Rent Is L...","Sector 4, Uttara","৳25,000",,,
61,Flat for rent in Gulshan 1 near Gulshan 1 DCC market,"Gulshan 1, Gulshan","৳180,000",,,
62,"An Apartment Is Ready For Rent At Mirpur , Near Baitur Rahman Jame Mosque.","Section 12, Mirpur","৳22,000",,,
63,Flat For Rent In Motijheel Close To Eastern View - Commercial Complex,"Naya Paltan, Motijheel","৳30,000",,,
64,You can move into this well planned and comfortable Residential flat in Gulshan 2 for...,"Gulshan 1, Gulshan","৳72,000",,,
